Name,Location,Level
Vaporeon,Striaton City,47
Abra,Black City,74
Eevee,Vermilion City,89
Pikachu,Canalave City,35
Charmeleon,Six Island,44
Muk,Shalour City,72
Seaking,Anistar City,90
Nidorina,Floaroma Town,11
Wigglytuff,Striaton City,96
Gengar,Cianwood City,21
Meowth,Driftveil City,97
Parasect,Black City,43
Clefairy,Lilycove City,27
Nidoking,Pastoria City,53
Sandslash,Aquacorde Town,38
Venonat,Celadon City,57
Seaking,Veilstone City,71
Seel,Sunyshore City,13
Nidoking,Lacunosa Town,39
Golem,Lavender Town,87
Porygon,Opelucid City,95
Squirtle,Santalune City,81
Magneton,Pallet Town,78
Metapod,Violet City,98
Hitmonlee,Striaton City,92
Exeggutor,Blackthorn City,84
Chansey,Lentimas Town,37
Porygon,Dewford Town,47
Rhydon,Safari Zone Gate,29
Dugtrio,Four Island,23
Rhyhorn,Petalburg City,33
Grimer,Viridian City,97
Ekans,Castelia City,34
Muk,nil,88
Golem,Slateport City,79
Flareon,Nuvema Town,30
Lapras,New Bark Town,85
Hitmonlee,Vermilion City,42
Wigglytuff,Ambrette Town,14
Blastoise,Veilstone City,76
Eevee,Ever Grande City,89
Rattata,Pastoria City,85
Squirtle,Six Island,76
Meowth,Black City,70
Golduck,Slateport City,67
Poliwrath,Two Island,21
Gyarados,Frontier Access,48
Poliwrath,Floaroma Town,39
Seaking,Fortree City,3
Machop,Sandgem Town,73
Nidorina,Saffron City,33
Goldeen,Seven Island,40
Dragonite,Safari Zone Gate,27
Kingler,Shalour City,74
Bellsprout,Floaroma Town,45
Fearow,Humilau City,77
Chansey,Floaroma Town,46
Doduo,Mauville City,84
Tentacruel,Lacunosa Town,25
Slowbro,Safari Zone Gate,43
Zubat,Celestic Town,83
Hitmonchan,Four Island,78
Koffing,Nimbasa City,55
Diglett,Black City,29
Paras,Anville Town,70
Clefable,Cinnabar Island,47
Flareon,Lacunosa Town,98
Farfetch'd,Snowbelle City,21
Abra,Geosenge Town,74
Tentacruel,Humilau City,18
Nidorina,Driftveil City,37
Fearow,Pastoria City,43
Slowpoke,Frontier Access,66
Weedle,Nimbasa City,38
Kangaskhan,Pacifidlog Town,31
Mewtwo,Saffron City,93
Hypno,Castelia City,83
Charmeleon,Safari Zone Gate,58
Sandshrew,Four Island,50
Sandslash,Camphrier Town,26
Nidoking,Sandgem Town,65
Golduck,Coumarine City,21
Pidgeotto,Aquacorde Town,77
Bellsprout,Veilstone City,63
Moltres,Azalea Town,48
Nidoran,Blackthorn City,54
Starmie,Pastoria City,60
Dodrio,Cinnabar Island,64
Jolteon,Nuvema Town,29
Lickitung,Fuchsia City,43
Rhydon,Hearthome City,63
Primeape,Rustboro City,30
Koffing,Snowpoint City,23
Koffing,Geosenge Town,4
Nidoran,Fallarbor Town,27
Weepinbell,Coumarine City,28
Articuno,Safari Zone Gate,64
Dewgong,One Island,21
Ekans,Castelia City,66
Farfetch'd,Five Island,91
Venonat,Undella Town,96
Jolteon,Cianwood City,3
Electrode,Opelucid City,52
Butterfree,Pacifidlog Town,8
Marowak,Laverre City,15
Bulbasaur,Nacrene City,86
Raichu,Black City,44
Graveler,Virbank City,33
Vileplume,Nacrene City,22
Weezing,Violet City,93
Tauros,Accumula Town,9
Rattata,Twinleaf Town,66
Abra,Humilau City,47
Raticate,Lumiose City,39
Machoke,Three Island,35
Snorlax,Ambrette Town,81
Bellsprout,Blackthorn City,3
Blastoise,Sandgem Town,15
Growlithe,Veilstone City,91
Onix,Slateport City,96
Clefable,Icirrus City,70
Scyther,Hearthome City,33
Gengar,Cerulean City,89
Nidoran,Fuchsia City,67
Jolteon,Opelucid City,19
Magneton,Littleroot Town,63
Goldeen,Celadon City,69
Magikarp,White Forest,94
Hitmonlee,Black City,61
Horsea,Blackthorn City,58
Machoke,Two Island,84
Kangaskhan,Oldale Town,8
Marowak,Cinnabar Island,58
Magneton,nil,76
Alakazam,Fight Area,86
Dratini,Cinnabar Island,98
Clefairy,Mossdeep City,61
Electabuzz,Seven Island,46
Clefairy,Sandgem Town,28
Dodrio,Fight Area,76
Electrode,Couriway Town,65
Dratini,Opelucid City,66
Magnemite,Oldale Town,2
Pidgeot,Two Island,67
Poliwag,Camphrier Town,31
Ivysaur,Nimbasa City,81
Mr.,Oldale Town,35
Spearow,Fortree City,15
Lickitung,Lavaridge Town,17
Blastoise,Goldenrod City,28
Diglett,Laverre City,36
Exeggcute,Cinnabar Island,92
Butterfree,Fuchsia City,22
Pidgeotto,Oreburgh City,57
Ivysaur,Six Island,79
Eevee,Survival Area,83
Arcanine,Geosenge Town,1
Dragonite,Pastoria City,67
Fearow,Seven Island,31
Nidoqueen,Oreburgh City,53
Jolteon,Survival Area,75
Charmeleon,Shalour City,79
Rhydon,Oreburgh City,44
Gastly,Lilycove City,20
Pikachu,Oreburgh City,65
Articuno,Blackthorn City,82
Pikachu,Slateport City,69
Arbok,Frontier Access,20
Nidoran,Fight Area,23
Jigglypuff,Violet City,15
Starmie,Mistralton City,67
Pidgey,Vermilion City,71
Vileplume,Slateport City,2
Nidoking,One Island,80
Gengar,Slateport City,6
Horsea,New Bark Town,24
Blastoise,Lentimas Town,16
Paras,Geosenge Town,19
Butterfree,Five Island,71
Farfetch'd,Veilstone City,4
Poliwrath,Dendemille Town,86
Nidorino,Celadon City,7
Golbat,Cinnabar Island,28
Tangela,Ever Grande City,47
Porygon,Floaroma Town,96
Slowpoke,Aspertia City,53
Magneton,Safari Zone Gate,35
Cubone,Ambrette Town,74
Bellsprout,Sandgem Town,26
Clefairy,Petalburg City,22
Horsea,One Island,29
Eevee,Survival Area,74
Bellsprout,New Bark Town,19
Koffing,Oreburgh City,42
Sandshrew,Sandgem Town,7
Gloom,Goldenrod City,24
Flareon,Pastoria City,72
Mr.,Anville Town,24
Geodude,Pallet Town,53
Vulpix,Sootopolis City,20
Marowak,Humilau City,20
Charmander,Virbank City,90
Hypno,Verdanturf Town,62
Pidgeot,Cerulean City,40
Haunter,Two Island,21
Persian,Ecruteak City,33
Tentacruel,Accumula Town,24
Arbok,Laverre City,19
Ivysaur,Oldale Town,35
Parasect,Mahogany Town,94
Ponyta,Oldale Town,15
Moltres,Mahogany Town,37
Exeggutor,Veilstone City,60
Horsea,White Forest,79
Slowpoke,Twinleaf Town,30
Mankey,Vaniville Town,61
Poliwhirl,Oreburgh City,51
Golem,Fight Area,57
Nidorina,Undella Town,69
Raticate,Floaroma Town,58
Ponyta,Two Island,26
Pidgeotto,Cerulean City,35
Wartortle,Opelucid City,20
Psyduck,Pallet Town,52
Zapdos,Floccesy Town,16
Exeggutor,Pacifidlog Town,38
Alakazam,Fuchsia City,91
Caterpie,Couriway Town,47
Charizard,Aspertia City,47
Vileplume,Four Island,72
Raichu,White Forest,61
Gengar,Anistar City,56
Charizard,Lilycove City,32
Golem,Laverre City,28
Hypno,White Forest,59
Poliwag,Fortree City,63
Staryu,Sandgem Town,74
Zapdos,Cinnabar Island,87
Dugtrio,Blackthorn City,14
Shellder,Black City,52
Venusaur,Cyllage City,39
Electabuzz,Sandgem Town,14
Raticate,Veilstone City,95
Voltorb,Opelucid City,74
Metapod,Ambrette Town,2
Nidoran,Black City,65
Poliwag,One Island,7
Ekans,Solaceon Town,12
Graveler,Nimbasa City,13
Doduo,Sunyshore City,34
Magmar,Snowbelle City,92
Raichu,Cianwood City,82
Mankey,Sandgem Town,60
Voltorb,Castelia City,14
Clefairy,Slateport City,65
Golduck,Safari Zone Gate,38
Koffing,Verdanturf Town,23
Weezing,Mossdeep City,30
Tauros,Lacunosa Town,91
Goldeen,Pacifidlog Town,25
Oddish,Frontier Access,26
Poliwrath,Floaroma Town,82
Vaporeon,Celestic Town,24
Flareon,Dendemille Town,82
Machamp,Jubilife City,72
Dragonite,Mauville City,67
Starmie,Six Island,82
Goldeen,Couriway Town,81
Exeggutor,Olivine City,34
Pidgey,Seven Island,70
Abra,Lacunosa Town,44
Primeape,Floccesy Town,13
Caterpie,Saffron City,16
Gastly,Lavaridge Town,67
Bellsprout,Nimbasa City,29
Spearow,White Forest,51
Squirtle,Oreburgh City,89
Bellsprout,Sunyshore City,31
Magneton,Petalburg City,89
Slowpoke,Coumarine City,73
Lickitung,Oreburgh City,75
Diglett,Rustboro City,50
Dragonite,Dendemille Town,57
Pidgeot,Four Island,55
Growlithe,Oldale Town,27
Clefairy,Driftveil City,43
Magnemite,Nacrene City,39
Voltorb,Goldenrod City,32
Exeggcute,Vermilion City,78
Poliwrath,Mauville City,10
Mewtwo,Oldale Town,58
Dugtrio,Ambrette Town,54
Weezing,Pallet Town,93
Lickitung,Twinleaf Town,36
Butterfree,Safari Zone Gate,4
Clefairy,Lentimas Town,97
Parasect,Cianwood City,88
Paras,nil,52
Butterfree,Snowbelle City,74
Pidgey,Lilycove City,26
Zubat,Violet City,70
Ninetales,Blackthorn City,19
Meowth,Five Island,88
Drowzee,Ever Grande City,68
Gengar,Saffron City,17
Moltres,nil,11
Persian,Fuchsia City,1
Gastly,Resort Area,73
Caterpie,Goldenrod City,38
Charizard,Veilstone City,6
Seel,Sunyshore City,57
Gastly,Snowbelle City,14
Spearow,Aspertia City,81
Clefable,Celadon City,27
Magnemite,Pastoria City,87
Pidgeot,Cerulean City,58
Dewgong,Mistralton City,16
Shellder,Snowbelle City,15
Abra,Five Island,32
Magnemite,Nacrene City,37
Clefable,Lilycove City,90
Nidoqueen,Five Island,64
Sandshrew,Lentimas Town,25
Rhyhorn,White Forest,44
Magneton,Resort Area,62
Sandshrew,Mauville City,54
Nidorino,Six Island,64
Kakuna,Blackthorn City,91
Pikachu,Four Island,81
Exeggcute,Verdanturf Town,26
Tentacool,Coumarine City,48
Rhyhorn,Snowbelle City,6
Snorlax,Mauville City,58
Shellder,Kiloude City,2
Eevee,Black City,86
Nidoking,Petalburg City,3
Primeape,Olivine City,43
Zubat,Oldale Town,39
Krabby,Pastoria City,4
Venonat,Ecruteak City,31
Tentacool,Lavaridge Town,14
Exeggcute,Mahogany Town,18
Nidoking,Kiloude City,40
Aerodactyl,New Bark Town,86
Omanyte,Cyllage City,86
Clefable,Sootopolis City,31
Nidorina,Floaroma Town,39
Weepinbell,Safari Zone Gate,24
Kadabra,Dewford Town,92
Hitmonchan,Azalea Town,40
Raticate,Celadon City,85
Rhyhorn,Virbank City,10
Alakazam,Fuchsia City,89
Jolteon,Ambrette Town,65
Ponyta,Rustboro City,36
Goldeen,Oldale Town,76
Victreebel,Lumiose City,23
Abra,Shalour City,5
Tangela,Geosenge Town,1
Poliwhirl,Eterna City,99
Persian,Virbank City,7
Machamp,Survival Area,55
Tentacool,Canalave City,66
Charmander,Canalave City,49
Magnemite,Petalburg City,2
Nidoran,Dewford Town,87
Hitmonchan,Survival Area,44
Pidgeot,Olivine City,74
Tauros,Castelia City,44
Graveler,Four Island,20
Golduck,Azalea Town,94
Weezing,Shalour City,9
Pinsir,Six Island,63
Oddish,Cyllage City,26
Marowak,Three Island,74
Pidgeot,Mahogany Town,24
Blastoise,Fortree City,88
Tangela,Lumiose City,2
Omanyte,Olivine City,40
Oddish,Cerulean City,13
Omanyte,Floaroma Town,32
Flareon,Survival Area,99
Grimer,Nimbasa City,95
Parasect,Two Island,22
Dewgong,Azalea Town,35
Haunter,Anville Town,73
Snorlax,Azalea Town,19
Articuno,Jubilife City,57
Mankey,Vermilion City,72
Pinsir,Dewford Town,96
Kabutops,Three Island,80
Seel,Violet City,46
Krabby,Four Island,97
Scyther,Lacunosa Town,43
Nidoking,Olivine City,13
Articuno,Humilau City,80
Beedrill,Vermilion City,70
Kabuto,Nimbasa City,19
Kadabra,Mahogany Town,58
Wigglytuff,Castelia City,39
Golduck,Veilstone City,65
Chansey,Fortree City,96
Exeggutor,Undella Town,16
Metapod,Ecruteak City,76
Kadabra,Vaniville Town,90
Jolteon,Veilstone City,43
Horsea,Undella Town,95
Growlithe,Cerulean City,87
Bulbasaur,Snowbelle City,15
Cloyster,Pacifidlog Town,4
Growlithe,Slateport City,16
Clefairy,Dewford Town,68
Farfetch'd,Icirrus City,89
Ditto,Cinnabar Island,38
Psyduck,Fuchsia City,66
Eevee,Undella Town,54
Omastar,Anistar City,38
Venusaur,Littleroot Town,45
Sandshrew,Driftveil City,9
Charmander,Lilycove City,13
Kadabra,Frontier Access,51
Ditto,Five Island,3
Golem,Blackthorn City,71
Jolteon,Ecruteak City,54
Victreebel,Eterna City,28
Alakazam,Nuvema Town,48
Clefairy,Canalave City,68
Koffing,Accumula Town,54
Raticate,Laverre City,18
Clefairy,Twinleaf Town,1
Kingler,Anistar City,41
Ivysaur,Slateport City,93
Dugtrio,Driftveil City,74
Venomoth,Petalburg City,98
Jigglypuff,Floaroma Town,3
Kingler,Veilstone City,46
Koffing,Shalour City,48
Voltorb,Azalea Town,65
Poliwag,Canalave City,18
Gloom,Black City,21
Farfetch'd,Viridian City,30
Machop,Cherrygrove City,21
Pidgeot,Lacunosa Town,40
Zapdos,Resort Area,42
Hypno,Littleroot Town,97
Gengar,Mahogany Town,21
Doduo,Veilstone City,72
Lapras,Azalea Town,29
Oddish,Sunyshore City,90
Pidgeot,Vaniville Town,24
Ditto,Cerulean City,58
Cubone,Verdanturf Town,46
Golem,Cherrygrove City,52
Venomoth,Mossdeep City,87
Gengar,Aspertia City,54
Nidoran,Cianwood City,40
Charmander,Icirrus City,70
Wigglytuff,Shalour City,43
Clefairy,Floccesy Town,72
Clefairy,Pallet Town,61
Mankey,Coumarine City,68
Pidgeotto,Opelucid City,64
Tentacruel,Mossdeep City,86
Kangaskhan,Pastoria City,67
Graveler,Rustboro City,94
Gengar,Accumula Town,19
Rhyhorn,Sandgem Town,4
Seadra,Olivine City,82
Nidorina,Resort Area,36
Gengar,Virbank City,92
Tentacruel,Five Island,72
Pidgeot,Hearthome City,42
Arbok,Icirrus City,37
Squirtle,Pacifidlog Town,40
Ekans,Virbank City,17
Golbat,Geosenge Town,17
Squirtle,Pallet Town,62
Pinsir,Geosenge Town,29
Venomoth,Cerulean City,30
Kingler,Solaceon Town,81
Clefable,Fight Area,51
Porygon,Fortree City,72
Exeggcute,Fallarbor Town,42
Farfetch'd,Survival Area,20
Abra,White Forest,4
Tentacool,Mahogany Town,28
Bulbasaur,Lacunosa Town,58
Spearow,Fight Area,40
Goldeen,Castelia City,76
Charmeleon,Lavaridge Town,52
Mewtwo,Camphrier Town,93
Arbok,Twinleaf Town,9
Golem,Two Island,26
Arcanine,Survival Area,64
Growlithe,White Forest,24
Beedrill,Camphrier Town,41
Magikarp,Two Island,44
Kingler,Mossdeep City,72
Gyarados,Nuvema Town,57
Koffing,Fuchsia City,93
Pikachu,Three Island,97
Dratini,Oldale Town,94
Gengar,Ambrette Town,56
Scyther,Littleroot Town,87
Meowth,Safari Zone Gate,43
Cubone,Lentimas Town,58
Rhyhorn,Goldenrod City,48
Rattata,Laverre City,58
Muk,nil,99
Vulpix,Violet City,59
Blastoise,Veilstone City,34
Nidoking,Cherrygrove City,10
Horsea,Aspertia City,39
Vulpix,Fight Area,39
Staryu,Canalave City,7
Poliwhirl,Camphrier Town,18
Weezing,Lentimas Town,49
Wigglytuff,Castelia City,25
Haunter,Anistar City,19
Kangaskhan,Humilau City,30
Gloom,Accumula Town,48
Vaporeon,Twinleaf Town,4
Poliwag,White Forest,37
Machoke,Canalave City,7
Golem,Geosenge Town,51
Parasect,Laverre City,89
Aerodactyl,Undella Town,44
Dragonite,Vermilion City,22
Raticate,Rustboro City,54
Cloyster,Solaceon Town,48
Starmie,Mistralton City,10
Mankey,Dewford Town,4
Ekans,Geosenge Town,55
Rhyhorn,Oldale Town,7
Voltorb,Lumiose City,40
Victreebel,Santalune City,22
Slowpoke,Three Island,98
Nidoking,Laverre City,34
Pikachu,New Bark Town,44
Sandslash,Olivine City,47
Pikachu,Fortree City,84
Ponyta,Pastoria City,75
Nidorina,Ecruteak City,8
Golduck,Veilstone City,72
Rapidash,Nuvema Town,58
Omastar,New Bark Town,20
Haunter,Snowpoint City,90
Hitmonchan,Cyllage City,48
Nidoking,Celestic Town,73
Haunter,Jubilife City,23
Blastoise,Blackthorn City,22
Poliwrath,Cerulean City,41
Weedle,Lilycove City,26
Growlithe,Slateport City,39
Wigglytuff,Nimbasa City,24
Golbat,Goldenrod City,61
Butterfree,Lacunosa Town,62
Exeggcute,Azalea Town,79
Muk,Petalburg City,67
Drowzee,Aquacorde Town,55
Mr.,Jubilife City,68
Paras,Four Island,29
Ditto,Survival Area,32
Golem,Ever Grande City,84
Geodude,Shalour City,5
Paras,Celestic Town,22
Pinsir,Nacrene City,42
Rhydon,Sootopolis City,39
Kakuna,Ambrette Town,4
Golduck,Mahogany Town,23
Onix,Sandgem Town,6
Beedrill,Kiloude City,23
Onix,Geosenge Town,57
Goldeen,New Bark Town,47
Squirtle,White Forest,43
Magneton,Resort Area,51
Squirtle,Pallet Town,63
Seel,Vaniville Town,10
Charizard,Rustboro City,86
Charmander,Vaniville Town,64
Machop,Celestic Town,79
Nidorina,Floaroma Town,13
Krabby,Cerulean City,78
Ekans,Couriway Town,54
Poliwag,Petalburg City,98
Eevee,Pastoria City,79
Kangaskhan,Sunyshore City,22
Omanyte,Aquacorde Town,75
Abra,Azalea Town,37
Magneton,Driftveil City,61
Zapdos,Santalune City,91
Vulpix,Seven Island,5
Porygon,Celestic Town,63
Pidgeot,Icirrus City,88
Articuno,White Forest,30
Nidorino,Kiloude City,64
Ekans,Snowpoint City,38
Voltorb,Mauville City,20
Tangela,Veilstone City,88
Bulbasaur,Mahogany Town,16
Tentacool,Oldale Town,74
Vaporeon,Pewter City,1
Gloom,Five Island,97
Jolteon,Sunyshore City,13
Aerodactyl,Olivine City,64
Geodude,Nimbasa City,2
Dratini,Lavaridge Town,93
Arbok,Celestic Town,51
Geodude,Ecruteak City,83
Gyarados,Rustboro City,51
Raticate,Camphrier Town,50
Articuno,Icirrus City,44
Arbok,Verdanturf Town,89
Tangela,Fuchsia City,93
Electrode,Saffron City,36
Seadra,Veilstone City,1
Doduo,Aquacorde Town,39
Poliwhirl,Cianwood City,47
Charmeleon,Five Island,92
Arcanine,Aquacorde Town,72
Nidoqueen,Seven Island,49
Zubat,Anville Town,44
Sandslash,Four Island,71
Growlithe,Shalour City,36
Seadra,Vermilion City,81
Jolteon,Six Island,24
Electrode,Saffron City,72
Ekans,Kiloude City,7
Magnemite,Lumiose City,44
Krabby,One Island,15
Eevee,Oldale Town,19
Caterpie,Opelucid City,1
Pidgey,Four Island,25
Tentacool,Snowpoint City,90
Moltres,Three Island,14
Venomoth,Kiloude City,45
Hitmonlee,Laverre City,15
Scyther,Lumiose City,80
Kangaskhan,Lavender Town,90
Omanyte,Aquacorde Town,92
Ekans,Veilstone City,60
Kadabra,Jubilife City,45
Nidorino,Anville Town,94
Poliwag,Lentimas Town,7
Tentacool,One Island,30
Diglett,Littleroot Town,42
Staryu,Geosenge Town,75
Poliwhirl,Mauville City,93
Ditto,Solaceon Town,91
Seadra,Fallarbor Town,81
Koffing,Vermilion City,15
Venusaur,Mauville City,91
Slowbro,Fallarbor Town,21
Golbat,Driftveil City,52
Weezing,Violet City,38
Jigglypuff,Oreburgh City,15
Horsea,Goldenrod City,85
Nidorina,Azalea Town,70
Omanyte,Seven Island,29
Golbat,Lentimas Town,20
Clefairy,Four Island,9
